Jogador;Temporada;Equipe;Liga;Posição;Jogos;Jogos como Titular;Minutos;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;TRP-DOU
Dario Šarić;30;DEN;NBA;C;16;4;13.1;1.3;3.6;0.36;0.4;1.6;0.27;0.9;2.0;0.44;0.42;0.4;0.6;0.70;0.9;2.3;3.1;1.4;0.4;0.1;0.9;1.2;3.5;
Jamal Murray;27;DEN;NBA;PG;65;65;36.3;8.0;16.8;0.48;2.4;6.0;0.40;5.6;10.8;0.52;0.55;3.2;3.7;0.89;0.7;3.2;3.8;6.0;1.4;0.5;2.0;1.9;21.6;
Vlatko Čančar;27;DEN;NBA;PF;12;0;11.0;0.8;2.2;0.39;0.3;1.3;0.27;0.5;0.9;0.55;0.46;0.0;0.0;;0.5;2.2;2.7;0.8;0.3;0.2;0.8;0.8;2.0;
Michael Porter;26;DEN;NBA;SF;72;72;33.6;6.9;13.7;0.50;2.5;6.3;0.40;4.4;7.3;0.59;0.60;1.9;2.5;0.76;1.8;5.2;7.0;2.2;0.7;0.5;1.3;2.0;18.2;
Zeke Nnaji;24;DEN;NBA;PF;55;4;10.8;1.3;2.5;0.50;0.3;0.9;0.33;1.0;1.6;0.60;0.56;0.5;0.8;0.62;0.6;1.0;1.6;0.4;0.4;0.7;0.2;1.1;3.3;
Christian Braun;23;DEN;NBA;SG;74;72;33.7;5.9;10.3;0.57;1.1;2.8;0.39;4.8;7.5;0.64;0.63;2.2;2.7;0.82;1.3;3.9;5.2;2.5;1.1;0.5;1.0;2.1;15.2;
Peyton Watson;22;DEN;NBA;SF;63;17;24.4;3.0;6.4;0.48;0.7;2.0;0.36;2.3;4.3;0.53;0.54;1.4;2.1;0.69;0.7;2.7;3.4;1.5;0.7;1.4;0.8;1.8;8.3;
Julian Strawther;22;DEN;NBA;SG;61;4;22.1;3.4;7.7;0.43;1.5;4.3;0.36;1.8;3.4;0.53;0.53;1.1;1.3;0.83;0.3;1.9;2.2;1.3;0.6;0.2;0.9;2.4;9.4;
Jalen Pickett;24;DET;NBA;PF;13;0;13.5;1.4;3.8;0.36;1.0;3.0;0.33;0.4;0.8;0.46;0.49;0.1;0.2;0.50;0.5;2.0;2.5;0.5;0.0;0.5;0.4;0.9;3.8;
Hunter Tyson;24;DEN;NBA;PF;49;2;8.1;0.9;2.4;0.38;0.5;1.5;0.31;0.4;0.9;0.49;0.47;0.4;0.5;0.73;0.5;1.1;1.6;0.4;0.2;0.1;0.3;0.9;2.7;
PJ Hall;22;DEN;NBA;C;19;0;3.5;0.7;1.3;0.58;0.1;0.4;0.25;0.6;0.8;0.75;0.62;0.2;0.2;0.75;0.3;0.8;1.2;0.2;0.0;0.2;0.1;0.6;1.7;
Trey Alexander;21;DEN;NBA;SG;22;0;5.0;0.5;1.8;0.30;0.1;0.8;0.18;0.4;1.0;0.39;0.34;0.1;0.2;0.75;0.0;0.5;0.5;0.5;0.0;0.0;0.2;0.5;1.4;
Spencer Jones;23;DEN;NBA;SF;20;0;6.3;0.6;1.7;0.32;0.1;0.9;0.06;0.5;0.9;0.59;0.34;0.2;0.2;1.00;0.4;0.5;0.9;0.3;0.3;0.3;0.3;0.9;1.3;
LeBron James;40;LAL;NBA;SF;65;65;35.1;9.4;18.3;0.51;2.2;5.8;0.38;7.2;12.5;0.57;0.57;3.6;4.7;0.78;1.0;7.0;8.1;8.4;1.0;0.6;3.8;1.4;24.5;
Alex Len;31;LAL;NBA;C;9;3;12.1;0.9;2.0;0.44;0.1;0.2;0.50;0.8;1.8;0.44;0.47;0.1;0.4;0.25;1.4;1.8;3.2;0.8;0.1;0.2;0.7;1.7;2.0;
Dorian Finney-Smith;31;LAL;NBA;PF;38;18;28.5;2.7;6.4;0.43;1.7;4.6;0.38;1.0;1.7;0.58;0.57;0.3;0.5;0.68;1.2;2.5;3.7;1.3;0.9;0.3;0.9;2.0;7.6;
Luka Dončić;25;LAL;NBA;PG;23;23;35.3;8.2;19.8;0.41;3.4;9.7;0.35;4.8;10.2;0.47;0.50;7.1;8.9;0.80;1.0;7.5;8.4;7.9;1.7;0.5;3.9;2.5;26.8;
Jarred Vanderbilt;25;LAL;NBA;PF;31;2;16.0;1.6;3.4;0.48;0.3;1.0;0.28;1.3;2.3;0.57;0.52;0.5;0.9;0.54;1.8;3.3;5.0;1.2;0.9;0.2;0.7;1.9;4.0;
Shake Milton;28;LAL;NBA;SG;26;0;11.3;1.4;3.1;0.45;0.3;1.2;0.30;1.0;1.9;0.54;0.51;0.7;0.8;0.85;0.5;1.3;1.9;1.3;0.3;0.1;0.7;0.8;3.8;
Gabe Vincent;28;LAL;NBA;PG;67;11;21.2;2.4;5.9;0.40;1.5;4.3;0.36;0.8;1.6;0.52;0.53;0.2;0.3;0.71;0.3;1.0;1.3;1.4;0.7;0.2;0.6;2.1;6.5;
Jaxson Hayes;28;NJN;NBA;SF;45;19;23.0;3.1;7.3;0.42;1.3;4.0;0.34;1.7;3.3;0.52;0.51;0.3;0.4;0.78;0.2;2.2;2.4;0.9;0.6;0.2;0.6;2.0;7.8;
Rui Hachimura;26;LAL;NBA;PF;56;54;31.6;5.0;9.8;0.51;1.7;4.1;0.41;3.3;5.6;0.58;0.59;1.4;1.9;0.76;1.4;3.6;5.0;1.4;0.8;0.4;0.8;1.8;13.1;
Austin Reaves;26;LAL;NBA;SG;68;68;34.9;6.5;14.3;0.46;2.7;7.3;0.37;3.8;7.0;0.55;0.55;4.4;5.0;0.88;0.8;3.7;4.5;5.8;1.1;0.3;2.4;2.1;20.1;
Jordan Goodwin;26;LAL;NBA;PG;23;5;19.2;2.3;4.9;0.46;0.9;2.3;0.40;1.3;2.6;0.52;0.56;0.4;0.5;0.82;1.4;2.2;3.6;1.3;1.1;0.5;0.7;1.6;5.8;
Christian Koloko;24;LAL;NBA;C;34;0;9.4;1.1;1.8;0.61;0.0;0.1;0.00;1.1;1.7;0.64;0.61;0.2;0.3;0.80;0.9;1.5;2.4;0.5;0.2;0.3;0.4;1.2;2.5;
Dalton Knecht;23;LAL;NBA;SF;72;15;19.6;3.3;7.2;0.46;1.6;4.4;0.37;1.7;2.8;0.60;0.57;0.8;1.1;0.75;0.5;2.4;2.8;0.9;0.3;0.1;0.5;1.3;9.1;
Kelly Olynyk;33;NOP;NBA;C;18;18;25.8;3.9;7.6;0.51;0.8;1.9;0.41;3.1;5.7;0.54;0.56;2.2;2.8;0.77;1.9;4.4;6.3;3.7;0.9;0.5;2.2;3.2;10.7;
CJ McCollum;33;NOP;NBA;PG;56;56;32.7;7.9;17.9;0.44;3.1;8.2;0.37;4.9;9.7;0.51;0.53;2.2;3.1;0.72;0.8;3.0;3.8;4.1;0.8;0.4;1.9;2.2;21.1;
Elfrid Payton;30;CHO;NBA;PG;6;2;20.5;0.5;3.5;0.14;0.0;0.0;;0.5;3.5;0.14;0.14;0.0;0.0;;0.2;2.0;2.2;3.3;1.0;0.5;1.2;2.0;1.0;
Dejounte Murray;28;NOP;NBA;PG;31;31;32.6;6.3;15.9;0.39;1.7;5.6;0.30;4.6;10.3;0.44;0.45;3.3;4.0;0.82;0.5;5.9;6.5;7.4;2.0;0.4;3.4;2.0;17.5;
Bruce Brown;28;NOP;NBA;PG;20;9;24.5;3.1;7.5;0.41;0.8;2.1;0.36;2.4;5.4;0.43;0.46;1.2;1.6;0.77;1.1;3.1;4.2;2.3;0.9;0.3;1.0;2.1;8.2;
Zion Williamson;24;NOP;NBA;PF;30;30;28.6;9.6;16.9;0.57;0.1;0.4;0.23;9.5;16.5;0.58;0.57;5.3;8.0;0.66;2.5;4.7;7.2;5.3;1.2;0.9;3.0;2.7;24.6;
Jeremiah Robinson-Earl;26;GSW;NBA;SG;22;0;3.7;0.5;1.5;0.33;0.1;0.8;0.12;0.4;0.7;0.56;0.36;0.3;0.5;0.64;0.0;0.2;0.3;0.2;0.0;0.1;0.1;0.2;1.4;
Brandon Boston;23;NOP;NBA;SG;42;10;23.6;4.0;9.1;0.44;1.2;3.3;0.35;2.8;5.7;0.48;0.50;1.6;2.0;0.79;0.7;2.5;3.2;2.2;1.3;0.2;1.2;1.7;10.7;
Herbert Jones;26;NOP;NBA;SF;20;20;32.4;3.8;8.6;0.44;1.1;3.6;0.31;2.7;5.0;0.53;0.50;1.7;2.0;0.82;1.1;2.8;3.9;3.3;1.9;0.5;1.8;3.3;10.3;
Trey Murphy;32;DAL;NBA;PF;14;1;18.3;1.6;4.4;0.36;0.8;2.5;0.31;0.8;1.9;0.42;0.45;0.7;0.8;0.91;0.5;3.0;3.5;0.5;0.7;0.4;0.5;2.1;4.6;
Jose Alvarado;26;NOP;NBA;PG;52;19;24.2;3.5;8.8;0.39;1.9;5.3;0.36;1.6;3.6;0.44;0.50;1.0;1.2;0.82;0.5;1.9;2.4;4.7;1.3;0.3;1.4;1.7;9.8;
Karlo Matković;23;NOP;NBA;PF;38;6;18.3;2.9;5.1;0.57;0.4;1.3;0.31;2.5;3.8;0.66;0.61;0.8;1.1;0.78;1.6;3.2;4.8;1.1;0.5;1.0;1.0;2.6;7.0;
Lester Quinones;24;NOP;NBA;SG;3;0;8.7;1.3;2.3;0.57;0.7;1.3;0.50;0.7;1.0;0.67;0.71;0.0;0.0;;0.0;0.3;0.3;0.3;0.3;0.3;0.3;0.7;3.3;
Jamal Cain;25;NOP;NBA;SF;31;0;11.2;1.2;2.9;0.40;0.5;1.6;0.29;0.7;1.3;0.54;0.48;0.5;0.8;0.65;0.6;1.2;1.8;0.5;0.5;0.3;0.5;1.0;3.3;
Jordan Hawkins;22;NOP;NBA;SG;56;9;23.6;3.7;9.9;0.37;2.0;5.9;0.33;1.7;4.0;0.43;0.47;1.4;1.8;0.82;0.4;2.4;2.8;1.2;0.5;0.4;1.0;0.9;10.8;
Yves Missi;20;NOP;NBA;C;70;64;26.9;3.6;6.6;0.54;0.0;0.0;0.00;3.6;6.6;0.54;0.54;1.8;2.8;0.63;3.5;4.7;8.2;1.3;0.5;1.4;1.1;2.0;8.9;
Antonio Reeves;24;NOP;NBA;SG;38;2;12.1;2.0;4.3;0.47;0.9;2.3;0.42;1.1;2.0;0.52;0.58;0.3;0.4;0.80;0.4;0.8;1.1;0.7;0.3;0.1;0.6;0.7;5.3;
Keion Brooks;24;DEN;NBA;SF;34;0;5.6;1.1;2.9;0.36;0.1;0.7;0.17;0.9;2.2;0.42;0.38;0.3;0.3;0.90;0.1;0.5;0.6;0.1;0.0;0.1;0.4;0.6;2.5;
James Harden;35;LAC;NBA;PG;73;73;35.1;6.5;16.3;0.40;3.0;8.6;0.35;3.6;7.7;0.46;0.49;6.4;7.3;0.87;0.7;5.0;5.7;8.6;1.5;0.7;4.4;2.1;22.5;
Nicolas Batum;36;LAC;NBA;PF;74;8;17.7;1.3;3.0;0.42;1.1;2.6;0.42;0.2;0.5;0.44;0.60;0.2;0.3;0.80;0.6;2.2;2.8;1.1;0.7;0.5;0.4;1.4;3.8;
Kawhi Leonard;33;LAC;NBA;SF;32;32;31.3;8.1;16.4;0.49;2.0;5.1;0.40;6.0;11.3;0.54;0.55;2.6;3.3;0.80;0.9;4.8;5.8;3.0;1.5;0.5;2.0;1.5;20.8;
Patty Mills;36;PHI;NBA;C;9;1;11.8;1.4;3.3;0.43;0.2;0.9;0.25;1.2;2.4;0.50;0.47;0.6;0.8;0.71;1.3;1.4;2.8;0.6;0.6;0.2;0.9;2.1;3.7;
Norman Powell;31;LAC;NBA;SG;55;55;32.3;7.8;16.0;0.49;3.1;7.3;0.42;4.7;8.7;0.54;0.58;3.7;4.5;0.81;0.4;2.9;3.3;2.2;1.2;0.2;1.8;1.9;22.4;
Ben Simmons;28;LAC;NBA;PG;14;0;17.5;1.6;3.5;0.45;0.0;0.0;;1.6;3.5;0.45;0.45;0.4;0.5;0.86;0.9;3.3;4.2;3.4;0.9;0.4;0.8;1.3;3.6;
Kris Dunn;30;LAC;NBA;PG;68;52;23.9;2.6;6.0;0.43;1.0;3.1;0.32;1.6;2.9;0.54;0.51;0.2;0.3;0.68;0.8;2.7;3.5;2.9;1.7;0.4;1.0;2.7;6.4;
Ivica Zubac;27;LAC;NBA;C;74;74;32.7;7.2;11.6;0.62;0.0;0.0;;7.2;11.6;0.62;0.62;2.0;3.0;0.65;3.7;8.8;12.5;2.6;0.7;1.2;1.6;2.2;16.5;
Bogdan Bogdanović;32;LAC;NBA;SG;24;4;25.6;4.4;9.2;0.48;2.0;5.0;0.41;2.3;4.2;0.55;0.59;1.0;1.1;0.89;0.3;2.9;3.2;3.2;0.7;0.2;1.4;2.2;11.8;
Derrick Jones;22;ORL;NBA;SF;63;17;12.7;1.5;3.5;0.44;0.1;0.6;0.26;1.4;2.9;0.47;0.46;0.5;0.8;0.67;0.3;1.4;1.7;0.3;0.3;0.3;0.5;0.9;3.7;
Drew Eubanks;27;LAC;NBA;C;19;0;7.1;0.9;1.8;0.53;0.0;0.1;0.00;0.9;1.7;0.55;0.53;0.5;0.6;0.75;0.8;1.5;2.3;0.3;0.1;0.3;0.4;0.6;2.4;
Amir Coffey;27;LAC;NBA;SG;71;13;24.6;3.4;7.2;0.47;1.4;3.5;0.41;2.0;3.7;0.53;0.57;1.6;1.8;0.89;0.5;1.8;2.3;1.1;0.6;0.1;0.6;1.7;9.8;
Patrick Baldwin;22;LAC;NBA;SF;1;0;3.0;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;
Kobe Brown;25;LAC;NBA;PF;36;0;6.7;0.8;1.8;0.47;0.1;0.6;0.18;0.7;1.2;0.62;0.50;0.1;0.2;0.71;0.5;1.1;1.6;0.6;0.2;0.1;0.3;0.6;1.9;
Seth Lundy;23;ATL;NBA;SF;9;0;5.8;0.4;1.9;0.23;0.3;1.4;0.23;0.1;0.4;0.25;0.32;0.3;0.4;0.75;0.1;0.7;0.8;0.0;0.0;0.0;0.1;0.7;1.6;
Trentyn Flowers;19;LAC;NBA;SF;3;0;6.0;1.3;3.0;0.44;0.0;0.7;0.00;1.3;2.3;0.57;0.44;1.0;1.0;1.00;0.3;1.0;1.3;0.0;0.0;0.0;0.3;1.0;3.7;
Anthony Davis;37;TOR;NBA;C;8;8;23.9;1.8;3.9;0.45;0.0;0.0;;1.8;3.9;0.45;0.45;0.9;2.5;0.35;1.9;2.6;4.5;0.9;0.4;0.1;1.0;3.3;4.4;
Klay Thompson;34;DAL;NBA;SF;68;68;27.6;5.1;12.5;0.41;3.1;7.8;0.39;2.1;4.6;0.45;0.54;1.0;1.1;0.91;0.6;2.9;3.6;2.1;0.7;0.4;1.3;1.2;14.4;
Dwight Powell;33;DAL;NBA;C;50;3;10.2;0.8;1.1;0.73;0.0;0.0;0.50;0.8;1.1;0.74;0.74;0.5;0.8;0.66;0.9;1.3;2.2;1.1;0.3;0.4;0.4;1.5;2.2;
Kyrie Irving;32;DAL;NBA;SG;50;50;36.1;8.9;18.9;0.47;2.9;7.2;0.40;6.1;11.7;0.52;0.55;3.9;4.3;0.92;1.2;3.6;4.8;4.6;1.3;0.5;2.2;2.0;24.7;
Spencer Dinwiddie;31;DAL;NBA;PG;75;28;26.8;3.7;8.6;0.42;1.4;4.1;0.34;2.3;4.5;0.50;0.50;2.4;3.0;0.80;0.2;2.4;2.6;4.3;0.9;0.2;1.3;1.5;11.1;
Dante Exum;29;DAL;NBA;PG;18;12;19.1;3.3;6.9;0.48;1.2;2.6;0.45;2.2;4.3;0.50;0.56;1.3;1.7;0.74;0.2;1.4;1.7;2.8;0.7;0.2;1.1;1.7;9.1;
Daniel Gafford;26;DAL;NBA;C;53;29;21.8;5.0;7.1;0.70;0.0;0.0;;5.0;7.1;0.70;0.70;2.4;3.4;0.69;2.7;4.1;6.8;1.4;0.4;1.8;1.2;2.7;12.4;
Caleb Martin;30;DET;NBA;SF;23;0;8.6;0.7;2.3;0.28;0.3;1.4;0.18;0.4;0.9;0.45;0.34;0.0;0.0;;0.0;0.9;0.9;0.5;0.1;0.0;0.2;0.9;1.6;
Naji Marshall;27;DAL;NBA;SF;64;27;27.5;5.2;10.3;0.51;0.9;3.2;0.28;4.4;7.1;0.61;0.55;1.8;2.2;0.82;1.1;3.8;4.9;2.9;1.0;0.2;1.5;1.6;13.2;
Kai Jones;24;DAL;NBA;C;9;6;21.2;4.8;5.7;0.84;0.1;0.2;0.50;4.7;5.4;0.86;0.85;1.3;1.8;0.75;2.1;4.7;6.8;1.2;0.7;0.8;0.4;2.1;11.0;
Kessler Edwards;35;VAN;NBA;SG;46;5;13.8;1.2;3.7;0.33;0.1;0.4;0.26;1.1;3.3;0.34;0.34;0.9;1.2;0.81;0.5;1.3;1.8;1.1;0.6;0.2;0.8;1.0;3.5;
Brandon Williams;27;ATL;NBA;SF;6;0;3.2;0.2;1.2;0.14;0.0;0.2;0.00;0.2;1.0;0.17;0.14;0.0;0.0;;0.3;0.0;0.3;0.0;0.3;0.0;0.5;0.7;0.3;
Jaden Hardy;25;UTA;NBA;SF;82;17;22.1;2.2;4.5;0.48;0.0;0.0;0.00;2.2;4.5;0.49;0.48;0.8;1.1;0.69;1.9;3.9;5.7;1.3;0.7;0.8;1.0;2.3;5.1;
Max Christie;24;DAL;NBA;PF;34;0;10.2;1.8;3.9;0.46;0.2;0.7;0.32;1.6;3.2;0.49;0.49;0.6;1.0;0.67;1.0;2.1;3.0;0.5;0.4;0.4;0.5;1.9;4.5;
Dereck Lively;20;DAL;NBA;C;33;26;23.8;3.8;5.4;0.70;0.0;0.0;;3.8;5.4;0.70;0.70;1.4;2.2;0.63;3.0;4.7;7.8;2.6;0.5;1.7;1.2;2.9;9.0;
Olivier-Maxence Prosper;22;DAL;NBA;PF;52;4;11.2;1.3;3.3;0.40;0.2;1.0;0.23;1.1;2.4;0.47;0.44;0.9;1.5;0.65;0.8;1.6;2.4;0.8;0.5;0.1;0.3;0.5;3.9;
