Jogador;Temporada;Equipe;Liga;Posição;Jogos;Jogos como Titular;Minutos;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;TRP-DOU
Toumani Camara;24;POR;NBA;PF;74;74;32.8;4.1;8.9;0.46;1.7;4.5;0.38;2.4;4.5;0.55;0.55;1.1;1.6;0.72;2.2;3.5;5.7;2.2;1.5;0.6;1.4;3.0;11.1;
Donovan Clingan;20;POR;NBA;C;62;32;19.1;2.5;4.7;0.54;0.2;0.6;0.30;2.3;4.0;0.58;0.56;0.9;1.5;0.61;3.1;4.4;7.5;1.1;0.5;1.6;1.1;2.7;6.2;
Steven Adams;31;HOU;NBA;C;55;2;13.4;1.5;2.8;0.55;0.0;0.0;0.00;1.5;2.8;0.55;0.55;0.8;1.7;0.46;2.8;2.6;5.5;1.2;0.4;0.5;1.0;1.0;3.8;
Fred VanVleet;30;HOU;NBA;PG;57;57;35.3;4.8;12.8;0.38;2.7;7.7;0.34;2.2;5.1;0.43;0.48;1.9;2.3;0.83;0.6;3.3;3.9;5.6;1.6;0.4;1.4;2.3;14.3;
Dillon Brooks;29;HOU;NBA;SF;73;73;32.0;5.1;12.0;0.42;2.5;6.3;0.39;2.6;5.7;0.46;0.53;1.3;1.6;0.82;1.0;2.7;3.7;1.7;0.8;0.2;1.0;3.3;14.0;
Aaron Holiday;28;HOU;NBA;PG;57;3;12.8;1.8;4.2;0.43;1.1;2.9;0.38;0.7;1.4;0.53;0.56;0.6;0.7;0.82;0.2;1.1;1.3;1.3;0.3;0.2;0.6;1.0;5.3;
Jock Landale;29;HOU;NBA;C;39;1;11.1;1.8;3.5;0.51;0.2;0.5;0.38;1.6;2.9;0.54;0.54;0.6;0.9;0.67;1.3;1.7;3.1;0.8;0.3;0.3;0.5;1.1;4.4;
Jae'Sean Tate;29;HOU;NBA;SF;49;2;11.3;1.3;2.8;0.46;0.2;0.8;0.31;1.1;2.0;0.52;0.50;0.7;1.0;0.68;1.0;1.3;2.3;0.9;0.5;0.1;0.4;1.6;3.5;
Alperen Sengün;22;HOU;NBA;C;73;73;31.6;7.4;14.9;0.50;0.3;1.2;0.24;7.1;13.7;0.52;0.51;3.9;5.6;0.69;3.5;7.0;10.5;4.9;1.1;0.8;2.6;2.8;19.0;
Jalen Green;32;GSW;NBA;PF;57;1;14.0;2.4;4.4;0.54;0.7;1.9;0.38;1.6;2.5;0.67;0.62;0.9;1.2;0.78;1.3;2.3;3.6;0.9;0.4;0.4;0.9;1.8;6.4;
Jabari Smith;27;NJN;NBA;PF;45;2;14.4;1.4;3.3;0.42;0.0;0.0;0.50;1.4;3.2;0.42;0.42;0.9;1.2;0.74;0.6;1.8;2.5;0.8;0.6;0.3;0.9;2.3;3.7;
