away_team,home_team,game_time
SAC,CHA,2025-04-04T19:00:00
UTA,IND,2025-04-04T19:00:00
PHO,BOS,2025-04-04T19:30:00
DET,TOR,2025-04-04T19:30:00
POR,CHI,2025-04-04T20:00:00
OKC,HOU,2025-04-04T20:00:00
CLE,SA,2025-04-04T20:00:00
DEN,GS,2025-04-04T22:00:00
NO,LAL,2025-04-04T22:30:00
DAL,LAC,2025-04-04T22:30:00
